Dataset,Trial_1,Trial_1_params,Trial_2,Trial_2_params,Trial_3,Trial_3_params,Trial_4,Trial_4_params,Trial_5,Trial_5_params,Trial_6,Trial_6_params,Trial_7,Trial_7_params,Trial_8,Trial_8_params,Trial_9,Trial_9_params,Trial_10,Trial_10_params,Trial_11,Trial_11_params,Trial_12,Trial_12_params,Trial_13,Trial_13_params,Trial_14,Trial_14_params,Trial_15,Trial_15_params,Trial_16,Trial_16_params,Trial_17,Trial_17_params,Trial_18,Trial_18_params,Trial_19,Trial_19_params,Trial_20,Trial_20_params,Trial_21,Trial_21_params,Trial_22,Trial_22_params,Trial_23,Trial_23_params
InsectWingbeatSound,,,,,,,,,,,0.1803030303030303,,0.151010101010101,,0.0909090909090909,,0.308080808080808,,0.0646464646464646,,0.1196969696969696,,0.198989898989899,,0.4575757575757576,,0.2449494949494949,,0.0696969696969697,,0.2707070707070707,,0.3378787878787879,,0.202020202020202,,0.1702020202020202,,0.1686868686868687,,0.1126262626262626,,0.4116161616161616,,0.3606060606060606,
ItalyPowerDemand,,,,,,,,,,,0.5014577259475219,,0.8211856171039844,,0.5014577259475219,,0.3411078717201166,,0.5014577259475219,,0.4985422740524781,,0.7871720116618076,,0.7220602526724975,,0.749271137026239,,0.4985422740524781,,0.8746355685131195,,0.4985422740524781,,0.5014577259475219,,0.7803692905733722,,0.4431486880466472,,0.4985422740524781,,0.543245869776482,,0.738581146744412,
LargeKitchenAppliances,,,,,,,,,,,0.4053333333333333,,0.3173333333333333,,0.3253333333333333,,0.344,,0.248,,0.336,,0.4266666666666667,,0.5013333333333333,,0.4026666666666667,,0.4186666666666667,,0.4,,0.376,,0.4053333333333333,,0.4293333333333333,,0.3306666666666666,,0.312,,0.4106666666666667,,0.3733333333333333,
Lightning2,,,,,,,,,,,0.639344262295082,,0.6721311475409836,,0.4590163934426229,,0.3934426229508196,,0.5409836065573771,,0.5409836065573771,,0.5245901639344263,,0.5245901639344263,,0.6065573770491803,,0.5409836065573771,,0.5081967213114754,,0.4590163934426229,,0.639344262295082,,0.4426229508196721,,0.5409836065573771,,0.6065573770491803,,0.4918032786885246,,0.6065573770491803,
Lightning7,,,,,,,,,,,0.0821917808219178,,0.2191780821917808,,0.0821917808219178,,0.0958904109589041,,0.2328767123287671,,0.136986301369863,,0.1232876712328767,,0.1917808219178082,,0.1232876712328767,,0.0821917808219178,,0.273972602739726,,0.1506849315068493,,0.1917808219178082,,0.1780821917808219,,0.1232876712328767,,0.1095890410958904,,0.273972602739726,,0.2191780821917808,
Mallat,,,,,,,,,,,0.12409381663113,,0.1718550106609808,,0.1253731343283582,,0.1044776119402985,,0.1194029850746268,,0.1931769722814499,,0.1547974413646055,,0.0149253731343283,,0.2110874200426439,,0.0,,0.2226012793176972,,0.1194029850746268,,0.0055437100213219,,0.1680170575692963,,0.1142857142857142,,0.144136460554371,,0.255863539445629,,0.4746268656716418,
Meat,,,,,,,,,,,0.0333333333333333,,0.0333333333333333,,0.3333333333333333,,0.05,,0.3333333333333333,,0.3333333333333333,,0.35,,0.6666666666666666,,0.3,,0.1,,0.65,,0.4833333333333333,,0.3333333333333333,,0.4166666666666667,,0.3333333333333333,,0.35,,0.65,,0.6333333333333333,
MedicalImages,,,,,,,,,,,0.1105263157894736,,0.1131578947368421,,0.0960526315789473,,0.5157894736842106,,0.0842105263157894,,0.1223684210526315,,0.3894736842105263,,0.3289473684210526,,0.0368421052631578,,0.0289473684210526,,0.5157894736842106,,0.2565789473684211,,0.4026315789473684,,0.3894736842105263,,0.0539473684210526,,0.0460526315789473,,0.4513157894736842,,0.3578947368421052,
MiddlePhalanxOutlineAgeGroup,,,,,,,,,,,0.422077922077922,,0.512987012987013,,0.2922077922077922,,0.1558441558441558,,0.1753246753246753,,0.512987012987013,,0.4155844155844156,,0.6363636363636364,,0.448051948051948,,0.6168831168831169,,0.3896103896103896,,0.5974025974025974,,0.5194805194805194,,0.487012987012987,,0.2207792207792207,,0.6298701298701299,,0.3831168831168831,,0.6038961038961039,
MiddlePhalanxOutlineCorrect,,,,,,,,,,,0.6529209621993127,,0.7353951890034365,,0.3745704467353952,,0.436426116838488,,0.570446735395189,,0.6632302405498282,,0.7353951890034365,,0.7594501718213058,,0.7216494845360825,,0.4123711340206185,,0.6941580756013745,,0.6838487972508591,,0.7457044673539519,,0.6082474226804123,,0.5773195876288659,,0.6288659793814433,,0.7285223367697594,,0.6116838487972509,
